"issue number","state","title","body","date created","assignees","labels"
37,"OPEN","F1.5: Connect dashboard UI to metrics API","### Purpose:
Make the dashboard live.

### Scope:

- Fetch data from /dashboard/metrics
- Map values into UI components
- Handle loading / empty states

### Acceptance Criteria:

- [ ] Metrics displayed using API data
- [ ] Screenshot showing live values","2026-01-30T18:43:43Z","fiyinfoluwaafol",""
36,"OPEN","F1.4: Create dashboard metrics UI layout","### Purpose:
Lay out the supervisor dashboard metrics section.

### Scope:

- UI skeleton for metric cards
- Placeholder/static values
- No real data wiring yet

### Acceptance Criteria:

- [ ] Dashboard renders metric cards
- [ ] Screenshot attached","2026-01-30T18:42:04Z","iniayolawal",""
34,"OPEN","F1.0: AI-Powered Interaction Dashboard","### Description
Build a supervisor-facing dashboard that provides a high-level summary of agent–customer interactions using aggregated metrics derived from call analytics. The dashboard is intended to support quick performance assessment and standup discussions.

### Scope
- Aggregated interaction metrics (e.g., call volume, sentiment averages)
- Backend APIs for summary data
- Supervisor dashboard UI

### Mapped Requirements
- R1 – AI-powered interaction dashboard
- R11 – Key metrics for standups","2026-01-30T18:24:53Z","fiyinfoluwaafol",""
29,"OPEN","F9.2: Implement agent-level analytics query logic","### Purpose
Retrieve analytics scoped to a single agent.

### Scope

- Query call analytics by agent ID
- Aggregate metrics over time
- Support mocked or seeded data

### Acceptance Criteria

- [ ] Correct metrics returned for sample agent
- [ ] Verified via logs or test output","2026-01-26T03:47:58Z","Mildness10",""
27,"OPEN","F8.2: Identify and flag high-performing calls","### Purpose
Automatically flag calls that meet “best call” criteria.

### Scope

- Evaluate call analytics against defined criteria
- Flag qualifying calls
- Support mocked analytics data

### Acceptance Criteria

- [ ] High-performing calls correctly flagged
- [ ] Verified using sample dataset","2026-01-26T03:46:55Z","Mikito-Coder",""
26,"OPEN","F8.1: Define high-performing call criteria","### Purpose
Decide what qualifies as a “best call” before selecting or displaying any examples.

### Scope

- Define performance criteria (e.g., sentiment threshold, no unresolved issues)
- Define anonymization requirements
- Define example metadata fields

### Acceptance Criteria

- [ ] Criteria documented
- [ ] Example call entry documented","2026-01-26T03:46:25Z","iniayolawal",""
25,"OPEN","F7.2: Generate post-call feedback from analytics","### Purpose
Produce feedback based on call analytics.

### Scope

- Use sentiment score, topics, and issue tags
- Simple rule-based logic is acceptable for MVP
- Support mocked analytics data

Acceptance Criteria

- [ ] Feedback generated for sample calls
- [ ] Output matches defined schema","2026-01-26T03:45:55Z","Mikito-Coder",""
24,"OPEN","F7.1: Define post-call feedback and coaching schema","### Purpose
Decide what feedback looks like before generating or displaying it.

### Scope

- Define feedback fields:
  - Overall assessment
  - Key strengths
  - Improvement suggestions
- Define trigger timing (post-call)
- Define example feedback output

### Acceptance Criteria

- [ ] Feedback schema documented
- [ ] Example output included","2026-01-26T03:45:28Z","Mikito-Coder",""
23,"OPEN","F6.2: Aggregate metrics for performance brief","### Purpose
Compute summary metrics over a defined time window.

### Scope

- Aggregate metrics using historical analytics
- Support daily and weekly ranges
- Use mocked data if needed

### Acceptance Criteria

- [ ] Aggregated metrics correct for sample periods
- [ ] Verified via logs or test output","2026-01-26T03:45:10Z","Mildness10",""
22,"OPEN","F6.1: Define performance brief contents and cadence","### Purpose
Decide what goes into a brief before generating anything.

### Scope

- Define metrics included in brief (e.g., avg sentiment, call volume, trends)
- Define supported cadence (daily, weekly)
- Define example brief output structure

### Acceptance Criteria

- [ ] Brief contents documented
- [ ] Example output included","2026-01-26T03:44:50Z","fiyinfoluwaafol",""
21,"OPEN","F5.3: Generate call-level analytics","### Purpose
Extract structured insights from call transcripts.

### Scope

- Compute sentiment score
- Extract topics or issue tags
- Use mocked or simplified logic if necessary

### Acceptance Criteria

- [ ] Analytics generated for sample calls
- [ ] Output matches defined schema","2026-01-26T03:44:24Z","Mikito-Coder",""
20,"OPEN","F5.2: Implement AI-based call summary generation","### Purpose
Generate concise summaries from call transcripts.

### Scope

- Invoke NLP model (AWS Bedrock or mocked fallback)
- Generate short, readable summaries
- Support mocked transcripts if needed

### Acceptance Criteria

- [ ] Summary generated for sample transcript
- [ ] Output matches contract from F5-1","2026-01-26T03:44:12Z","Mikito-Coder","AI Sprint"
18,"OPEN","F4.2: Implement backend filtering logic","### Purpose
Retrieve conversations that match selected filters.

### Scope

- Filter calls by:
  - Agent
  - Sentiment threshold/range
- Support mocked or seeded data
- Combine multiple filters in a single query

### Acceptance Criteria

- [ ] Correct calls returned for sample filter combinations
- [ ] Verified via test output or logs","2026-01-26T03:43:23Z","Mildness10",""
16,"OPEN","F3.3: Implement time-range analytics query logic","### Purpose
Retrieve historical analytics for a given date range.

### Scope

- Query stored analytics by start/end date
- Aggregate metrics by chosen granularity
- Return data in chart-friendly format

### Acceptance Criteria

- [ ] Correct data returned for sample ranges
- [ ] Output structure supports charting","2026-01-26T03:42:48Z","Mildness10",""
15,"OPEN","F3.2: Persist historical analytics metrics","### Purpose
Store analytics data in a way that supports trend analysis.

### Scope

- Store per-call or per-day analytics records
- Support mocked or seeded data
- Ensure data can be grouped by date range

### Acceptance Criteria

- [ ] Historical records persisted
- [ ] Sample dataset verified in DB or logs","2026-01-26T03:41:44Z","lawal-mj",""
13,"OPEN","F2.6: Build alerts UI section in dashboard","### Purpose
Allow supervisors to view alerts in one place.

### Scope

- UI layout for alert list
- Display alert type, summary, and timestamp
- Placeholder or static data initially

### Acceptance Criteria

- [ ] Alerts section renders in dashboard
- [ ] Screenshot attached","2026-01-26T03:40:16Z","iniayolawal",""
12,"OPEN","F2.5: Create alerts API endpoint","### Purpose
Expose alerts to the frontend.

### Scope

- REST endpoint (e.g. `GET /api/alerts`)
- Return active or recent alerts
- Support basic filtering (optional)

### Acceptance Criteria

- [ ] API returns alert list
- [ ] Verified via Postman / curl","2026-01-26T03:39:30Z","Mildness10",""
11,"OPEN","F2.4: Persist alert records","### Purpose
Store generated alerts for later retrieval and display.

### Scope

- Define alert storage schema
- Save negative sentiment and recurring issue alerts
- Avoid duplicates for the same condition

Acceptance ### Criteria

- [ ] Alerts saved and retrievable
- [ ] Duplicate alerts handled gracefully","2026-01-26T03:38:27Z","Mildness10",""
10,"OPEN","F1.2: Implement dashboard metrics aggregation logic","### Purpose:
Compute summary metrics from stored call analytics.

### Scope:
- Query Calls / CallAnalytics tables
- Aggregate metrics defined in F1-1
- Use mocked or seeded data if needed

### Acceptance Criteria:
- [ ] Function returns correct metrics for sample dataset
- [ ] Unit test or console output proving correctness

Depends on: #4 ","2026-01-26T03:37:22Z","lawal-mj",""
